"scientific_name","full_name","AphiaID","common_name","flag","comment","quantity","use_method_cov","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary","short_name","output_repo","kept_algos","n_kept_algos"
"Polysiphonia.stricta","Polysiphonia stricta",144672,NA,"green","",1951,FALSE,1,1,1.03124656531546,"RF, XGBOOST, GAM",1951,27812,"run3_macrophytes",NA,NA,0.959431859043509,0.939666666666667,"TSS","TSS","Polysiphonia.stricta","macrophytes","RF,XGBOOST,GAM",3
"Potamogeton.berchtoldii","Potamogeton berchtoldii",1297680,"small pondweed","green","",757,FALSE,1,1,1.22548225634628,"RF, XGBOOST, GAM",757,28893,"run3_macrophytes",NA,NA,0.86885950386705,0.6994,"TSS","TSS","Potamogeton.berchtoldii","macrophytes","RF,XGBOOST,GAM",3
"Potamogeton.crispus","Potamogeton crispus",NA,NA,"yellow","Low number of positive cases (presences) in model training data.",73,FALSE,1,1,0.610563035541111,"RF, XGBOOST, GAM",73,3506,"run3_macrophytes",NA,NA,0.771602472658108,0.461266666666667,"TSS","TSS","Potamogeton.crispus","macrophytes","RF,XGBOOST,GAM",3
"Potamogeton.friesii","Potamogeton friesii",NA,NA,"green","",374,FALSE,1,1,0.929734714693493,"RF, XGBOOST, GAM",374,18437,"run3_macrophytes",NA,NA,0.946859777596962,0.771466666666667,"TSS","TSS","Potamogeton.friesii","macrophytes","RF,XGBOOST,GAM",3
"Potamogeton.gramineus","Potamogeton gramineus",NA,NA,"green","",415,FALSE,1,1,0.812267623345057,"RF, XGBOOST, GAM",415,16413,"run3_macrophytes",NA,NA,0.851472903493352,0.6158,"TSS","TSS","Potamogeton.gramineus","macrophytes","XGBOOST,GAM,RF",3
"Potamogeton.natans","Potamogeton natans",NA,NA,"green","",627,FALSE,1,1,1.05795709139771,"RF, XGBOOST, GAM",627,29221,"run3_macrophytes",NA,NA,0.956013689253936,0.863,"TSS","TSS","Potamogeton.natans","macrophytes","RF,XGBOOST,GAM",3
"Potamogeton.obtusifolius","Potamogeton obtusifolius",NA,NA,"green","",322,FALSE,1,1,0.936288296646542,"RF, XGBOOST, GAM",322,15731,"run3_macrophytes",NA,NA,0.940420375079466,0.797066666666667,"TSS","TSS","Potamogeton.obtusifolius","macrophytes","RF,XGBOOST,GAM",3
"Potamogeton.perfoliatus","Potamogeton perfoliatus",416212,"perfoliate pondweed","green","",5977,FALSE,1,1,1.06573675413926,"RF, XGBOOST, GAM",5977,11466,"run3_macrophytes",NA,NA,0.78424471786974,0.5072,"TSS","TSS","Potamogeton.perfoliatus","macrophytes","RF,XGBOOST,GAM",3
"Potamogeton.praelongus","Potamogeton praelongus",NA,NA,"yellow","Low number of positive cases (presences) in model training data.",78,FALSE,1,1,0.62394015332063,"RF, XGBOOST, GAM",78,3742,"run3_macrophytes",NA,NA,0.950133689839572,0.629266666666667,"TSS","TSS","Potamogeton.praelongus","macrophytes","RF,XGBOOST,GAM",3
"Potamogeton.pusillus","Potamogeton pusillus",NA,NA,"green","",1057,FALSE,1,1,1.15949132892821,"RF, XGBOOST, GAM",1057,28721,"run3_macrophytes",NA,NA,0.754598245521393,0.6038,"TSS","TSS","Potamogeton.pusillus","macrophytes","RF,XGBOOST,GAM",3
