"scientific_name","full_name","AphiaID","common_name","flag","comment","quantity","use_method_cov","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary","short_name","output_repo","kept_algos","n_kept_algos"
"Ophiura.albida","Ophiura albida",124913,"brittlestar; Serpent's table brittlestar","green","",2144,FALSE,1,1,1.23836117115286,"RF, XGBOOST, GAM",2144,25096,"run3_invertebrates",NA,NA,0.737500156747019,0.618866666666667,"TSS","TSS","Ophiura.albida","invertebrates","RF,XGBOOST,GAM",3
"Owenia.fusiformis","Owenia fusiformis",130544,"tubeworm","green","",245,FALSE,1,1,0.983035096989738,"RF, XGBOOST, GAM",245,22313,"run3_invertebrates",NA,NA,0.865860339206263,0.616666666666667,"TSS","TSS","Owenia.fusiformis","invertebrates","RF,XGBOOST,GAM",3
"Oxydromus.flexuosus","Oxydromus flexuosus",710680,NA,"yellow","Low number of positive cases (presences) in model training data.",76,FALSE,1,1,0.672203756372134,"RF, XGBOOST, GAM",76,2616,"run3_invertebrates",NA,NA,0.939961759082218,0.783133333333333,"TSS","TSS","Oxydromus.flexuosus","invertebrates","RF,XGBOOST,GAM",3
"Palaemon.adspersus","Palaemon adspersus",107613,"Baltic prawn","red","Low number of positive cases (presences) in model training data.",89,FALSE,1,1,0.860525271428956,"RF, XGBOOST, GAM",89,14385,"run3_invertebrates",NA,NA,0.740933843123624,0.525933333333333,"TSS","TSS","Palaemon.adspersus","invertebrates","RF,XGBOOST,GAM",3
"Paradoneis.eliasoni","Paradoneis eliasoni",130581,NA,"yellow","Low number of positive cases (presences) in model training data.",115,FALSE,1,1,0.691430696646372,"RF, XGBOOST, GAM",115,919,"run3_invertebrates",NA,NA,0.821739130434783,0.537666666666667,"TSS","TSS","Paradoneis.eliasoni","invertebrates","RF,XGBOOST,GAM",3
"Paramphinome.jeffreysii","Paramphinome jeffreysii",129837,NA,"yellow","Low number of positive cases (presences) in model training data.",54,FALSE,1,1,0.788840721382035,"RF, XGBOOST, GAM",54,10201,"run3_invertebrates",NA,NA,0.990980392156863,0.614133333333333,"TSS","TSS","Paramphinome.jeffreysii","invertebrates","RF,XGBOOST,GAM",3
"Paraonis.fulgens","Paraonis fulgens",146932,NA,"green","",332,FALSE,1,1,1.0713273113966,"RF, XGBOOST, GAM",332,21349,"run3_invertebrates",NA,NA,0.880129160457029,0.656733333333333,"TSS","TSS","Paraonis.fulgens","invertebrates","RF,XGBOOST,GAM",3
"Parathyasira.equalis","Parathyasira equalis",954693,NA,"red","Low number of positive cases (presences) in model training data.",49,FALSE,1,1,0.670342672533459,"RF, XGBOOST, GAM",49,2434,"run3_invertebrates",NA,NA,0.95523613963039,0.699066666666667,"TSS","TSS","Parathyasira.equalis","invertebrates","RF,XGBOOST,GAM",3
"Parexogone.hebes","Parexogone hebes",757970,NA,"yellow","Low number of positive cases (presences) in model training data.",34,FALSE,1,1,0.656022503905826,"RF, XGBOOST, GAM",34,983,"run3_invertebrates",NA,NA,0.965482233502538,0.6824,"TSS","TSS","Parexogone.hebes","invertebrates","RF,GAM,XGBOOST",3
"Pariambus.typicus","Pariambus typicus",101857,NA,"yellow","Low number of positive cases (presences) in model training data.",138,FALSE,1,1,0.939135002228949,"RF, XGBOOST, GAM",138,22476,"run3_invertebrates",NA,NA,0.877030033370412,0.449466666666667,"TSS","TSS","Pariambus.typicus","invertebrates","GAM,XGBOOST,RF",3
"Parvicardium.exiguum","Parvicardium exiguum",139008,"little cockle","red","",190,FALSE,1,1,0.763189341359668,"RF, XGBOOST, GAM",190,8899,"run3_invertebrates",NA,NA,0.898947368421053,0.553066666666667,"TSS","TSS","Parvicardium.exiguum","invertebrates","XGBOOST,GAM,RF",3
"Parvicardium.hauniense","Parvicardium hauniense",139009,"Copenhagen cockle","red","",174,FALSE,1,1,0.773372489147716,"RF, XGBOOST, GAM",174,12434,"run3_invertebrates",NA,NA,0.957851685909587,0.8034,"TSS","TSS","Parvicardium.hauniense","invertebrates","RF,XGBOOST,GAM",3
"Parvicardium.minimum","Parvicardium minimum",1417307,NA,"yellow","Low number of positive cases (presences) in model training data.",53,FALSE,1,1,0.78384309914377,"RF, XGBOOST, GAM",53,13183,"run3_invertebrates",NA,NA,0.970800151687524,0.697466666666667,"TSS","TSS","Parvicardium.minimum","invertebrates","RF,XGBOOST,GAM",3
"Parvicardium.pinnulatum","Parvicardium pinnulatum",181343,"oval cockle","green","",1127,FALSE,1,1,1.19565392143197,"RF, XGBOOST, GAM",1127,23033,"run3_invertebrates",NA,NA,0.732284687552758,0.4758,"TSS","TSS","Parvicardium.pinnulatum","invertebrates","RF,XGBOOST",2
"Parvicardium.scabrum","Parvicardium scabrum",139012,NA,"red","Low number of positive cases (presences) in model training data.",42,FALSE,1,1,0.82019056002299,"RF, XGBOOST, GAM",42,11054,"run3_invertebrates",NA,NA,0.860707824513795,0.473133333333333,"TSS","TSS","Parvicardium.scabrum","invertebrates","RF,GAM",2
"Pectinaria.belgica","Pectinaria belgica",334417,NA,"green","",165,FALSE,1,1,0.916499201125569,"RF, XGBOOST, GAM",165,18263,"run3_invertebrates",NA,NA,0.848290736546964,0.633933333333333,"TSS","TSS","Pectinaria.belgica","invertebrates","RF,XGBOOST,GAM",3
"Pennatula.phosphorea","Pennatula phosphorea",128517,"luminescent sea-pen; phosphorescent sea pen; phosphorescent sea-pen","red","Low number of positive cases (presences) in model training data.",54,FALSE,1,1,0.712932381100125,"RF, XGBOOST, GAM",54,9091,"run3_invertebrates",NA,NA,0.942244224422442,0.502933333333333,"TSS","TSS","Pennatula.phosphorea","invertebrates","GAM,RF",2
"Peringia.ulvae","Peringia ulvae",151628,"common mudflat snail; European mudsnail; laver spire shell","green","",1757,FALSE,1,1,0.936549443602562,"RF, XGBOOST, GAM",1757,3948,"run3_invertebrates",NA,NA,0.772943849399546,0.645266666666667,"TSS","TSS","Peringia.ulvae","invertebrates","RF,XGBOOST,GAM",3
"Perioculodes.longimanus","Perioculodes longimanus",102915,NA,"green","",225,FALSE,1,1,0.978046307497554,"RF, XGBOOST, GAM",225,22648,"run3_invertebrates",NA,NA,0.768373804267844,0.539666666666667,"TSS","TSS","Perioculodes.longimanus","invertebrates","RF,XGBOOST,GAM",3
"Phaxas.pellucidus","Phaxas pellucidus",140737,"razor shell; transparent razor shell","green","",1681,FALSE,1,1,1.24670079946518,"RF, XGBOOST, GAM",1681,25864,"run3_invertebrates",NA,NA,0.663786326438559,0.493,"TSS","TSS","Phaxas.pellucidus","invertebrates","RF,XGBOOST,GAM",3
"Pherusa.plumosa","Pherusa plumosa",130113,NA,"green","",224,FALSE,1,1,0.947907662259208,"RF, XGBOOST, GAM",224,21080,"run3_invertebrates",NA,NA,0.897443601096353,0.681866666666667,"TSS","TSS","Pherusa.plumosa","invertebrates","RF,XGBOOST,GAM",3
"Philine.aperta","Philine aperta",140744,"Cape Sand Slug; European paperbubble; open-shelled paperbubble; paper-bubble","green","",975,FALSE,1,1,1.06872144189146,"RF, XGBOOST, GAM",975,23615,"run3_invertebrates",NA,NA,0.66968864856648,0.518333333333333,"TSS","TSS","Philine.aperta","invertebrates","RF,XGBOOST,GAM",3
"Philine.quadripartita","Philine quadripartita",574582,NA,"green","",158,FALSE,1,1,0.738564902544022,"RF, XGBOOST, GAM",158,5942,"run3_invertebrates",NA,NA,0.971717171717172,0.7564,"TSS","TSS","Philine.quadripartita","invertebrates","RF,XGBOOST,GAM",3
"Pholoe.assimilis","Pholoe assimilis",130598,NA,"green","",179,FALSE,1,1,0.728757266667154,"RF, XGBOOST, GAM",179,6347,"run3_invertebrates",NA,NA,0.912017336485422,0.741266666666667,"TSS","TSS","Pholoe.assimilis","invertebrates","RF,XGBOOST,GAM",3
"Pholoe.baltica","Pholoe baltica",130599,NA,"green","",2209,FALSE,1,1,1.25377553469605,"RF, XGBOOST, GAM",2209,25317,"run3_invertebrates",NA,NA,0.787641330100463,0.703666666666667,"TSS","TSS","Pholoe.baltica","invertebrates","RF,XGBOOST,GAM",3
"Pholoe.inornata","Pholoe inornata",130601,NA,"green","",1496,FALSE,1,1,1.21129009332922,"RF, XGBOOST, GAM",1496,21580,"run3_invertebrates",NA,NA,0.723189748962405,0.5598,"TSS","TSS","Pholoe.inornata","invertebrates","RF,XGBOOST,GAM",3
"Pholoe.pallida","Pholoe pallida",130604,NA,"red","",208,FALSE,1,1,0.846939673291312,"RF, XGBOOST, GAM",208,15444,"run3_invertebrates",NA,NA,0.977173996824369,0.811333333333333,"TSS","TSS","Pholoe.pallida","invertebrates","RF,XGBOOST,GAM",3
"Phoronis.muelleri","Phoronis muelleri",128549,"common elongated phoronid; horseshoe worm","green","",2453,FALSE,1,1,1.23097954134146,"RF, XGBOOST, GAM",2453,23666,"run3_invertebrates",NA,NA,0.779205500401695,0.6906,"TSS","TSS","Phoronis.muelleri","invertebrates","RF,XGBOOST,GAM",3
"Photis.longicaudata","Photis longicaudata",102383,NA,"red","Low number of positive cases (presences) in model training data.",48,FALSE,1,1,0.785353839993477,"RF, XGBOOST, GAM",48,12713,"run3_invertebrates",NA,NA,0.895328352339756,0.459933333333333,"TSS","TSS","Photis.longicaudata","invertebrates","RF,XGBOOST,GAM",3
"Phoxocephalus.holbolli","Phoxocephalus holbolli",102989,NA,"yellow","Low number of positive cases (presences) in model training data.",126,FALSE,1,1,0.672436147729556,"RF, XGBOOST, GAM",126,1323,"run3_invertebrates",NA,NA,0.944,0.7462,"TSS","TSS","Phoxocephalus.holbolli","invertebrates","RF,XGBOOST,GAM",3
"Phyllodoce.groenlandica","Phyllodoce groenlandica",334506,NA,"green","",759,FALSE,1,1,1.11889001554913,"RF, XGBOOST, GAM",759,24605,"run3_invertebrates",NA,NA,0.694432026010973,0.500266666666667,"TSS","TSS","Phyllodoce.groenlandica","invertebrates","RF,XGBOOST,GAM",3
